state,called_b,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent
Alabama,1,"849,624.00","1,441,170.00","32,488.00",36.60,62.00,1.40
Alaska,1,"153,778.00","189,951.00","15,801.00",42.80,52.80,4.40
Arizona,0,"1,672,143.00","1,661,686.00","53,497.00",49.40,49.10,1.60
Arkansas,1,"423,932.00","760,647.00","34,490.00",34.80,62.40,2.80
California,0,"11,110,250.00","6,006,429.00","384,192.00",63.50,34.30,2.20
Colorado,0,"1,804,352.00","1,364,607.00","87,993.00",55.40,41.90,2.70
Connecticut,0,"1,080,831.00","714,717.00","28,309.00",59.30,39.20,1.60
Delaware,0,"296,268.00","200,603.00","7,475.00",58.70,39.80,1.50
District of Columbia,0,"317,323.00","18,586.00","8,447.00",92.10,5.40,2.50
Florida,1,"5,297,045.00","5,668,731.00","101,680.00",47.90,51.20,0.90
Georgia,0,"2,473,633.00","2,461,854.00","62,229.00",49.50,49.30,1.20
Hawaii,0,"366,130.00","196,864.00","11,475.00",63.70,34.30,2.00
Idaho,1,"287,021.00","554,119.00","26,091.00",33.10,63.90,3.00
Illinois,0,"3,471,915.00","2,446,891.00","114,938.00",57.50,40.60,1.90
Indiana,1,"1,242,413.00","1,729,516.00","61,183.00",41.00,57.00,2.00
Iowa,1,"759,061.00","897,672.00","34,138.00",44.90,53.10,2.00
Kansas,1,"570,323.00","771,406.00","30,574.00",41.60,56.20,2.20
Kentucky,1,"772,474.00","1,326,646.00","37,648.00",36.20,62.10,1.80
Louisiana,1,"856,034.00","1,255,776.00","36,252.00",39.90,58.50,1.70
Maine,0,"435,072.00","360,737.00","23,652.00",53.10,44.00,2.90
Maryland,0,"1,985,023.00","976,414.00","75,593.00",65.40,32.20,2.50
Massachusetts,0,"2,382,202.00","1,167,202.00","81,998.00",65.60,32.10,2.30
Michigan,0,"2,804,040.00","2,649,852.00","85,410.00",50.60,47.80,1.50
Minnesota,0,"1,717,077.00","1,484,065.00","76,029.00",52.40,45.30,2.30
Mississippi,1,"539,508.00","756,789.00","17,597.00",41.10,57.60,1.30
Missouri,1,"1,253,014.00","1,718,736.00","54,212.00",41.40,56.80,1.80
Montana,1,"244,786.00","343,602.00","15,286.00",40.50,56.90,2.50
Nebraska,1,"374,583.00","556,846.00","20,283.00",39.40,58.50,2.10
Nevada,0,"703,486.00","669,890.00","32,000.00",50.10,47.70,2.30
New Hampshire,0,"424,921.00","365,654.00","15,607.00",52.70,45.40,1.90
New Jersey,0,"2,608,335.00","1,883,274.00","57,744.00",57.30,41.40,1.30
New Mexico,0,"501,614.00","401,894.00","20,457.00",54.30,43.50,2.20
New York,0,"5,244,886.00","3,251,997.00","119,978.00",60.90,37.70,1.40
North Carolina,1,"2,684,292.00","2,758,775.00","81,737.00",48.60,49.90,1.50
North Dakota,1,"114,902.00","235,595.00","11,322.00",31.80,65.10,3.10
Ohio,1,"2,679,165.00","3,154,834.00","88,203.00",45.20,53.30,1.50
Oklahoma,1,"503,890.00","1,020,280.00","36,529.00",32.30,65.40,2.30
Oregon,0,"1,340,383.00","958,448.00","75,490.00",56.50,40.40,3.20
Pennsylvania,0,"3,458,229.00","3,377,674.00","79,380.00",50.00,48.80,1.10
Rhode Island,0,"307,486.00","199,922.00","10,349.00",59.40,38.60,2.00
South Carolina,1,"1,091,541.00","1,385,103.00","36,685.00",43.40,55.10,1.50
South Dakota,1,"150,471.00","261,043.00","11,095.00",35.60,61.80,2.60
Tennessee,1,"1,143,711.00","1,852,475.00","57,665.00",37.50,60.70,1.90
Texas,1,"5,259,126.00","5,890,347.00","165,583.00",46.50,52.10,1.50
Utah,1,"560,282.00","865,140.00","62,867.00",37.60,58.10,4.20
Vermont,0,"242,820.00","112,704.00","11,904.00",66.10,30.70,3.20
Virginia,0,"2,413,568.00","1,962,430.00","84,526.00",54.10,44.00,1.90
Washington,0,"2,369,612.00","1,584,651.00","133,368.00",58.00,38.80,3.30
West Virginia,1,"235,984.00","545,382.00","13,286.00",29.70,68.60,1.70
Wisconsin,0,"1,630,866.00","1,610,184.00","56,991.00",49.40,48.80,1.70
Wyoming,1,"73,491.00","193,559.00","9,715.00",26.60,69.90,3.50